23/07/2020;32;17.28
24/07/2020;93;25.98
24/07/2020;27;22.67
24/07/2020;75;21.72
24/07/2020;24;21.42
25/07/2020;76;23.66
25/07/2020;32;19.24
25/07/2020;75;20.11
25/07/2020;27;21.42
25/07/2020;53;18.76
26/07/2020;44;22.13
26/07/2020;28;19.0
27/07/2020;44;22.66
27/07/2020;84;25.12
28/07/2020;93;25.59
28/07/2020;28;17.86
28/07/2020;52;20.18
28/07/2020;53;16.52
28/07/2020;27;23.86
29/07/2020;76;26.25
29/07/2020;27;20.84
29/07/2020;93;27.18
29/07/2020;53;15.6
29/07/2020;94;25.78
30/07/2020;53;20.85
30/07/2020;32;20.16
30/07/2020;24;24.13
31/07/2020;84;28.71
31/07/2020;32;27.35
31/07/2020;28;26.06
31/07/2020;44;26.2
01/08/2020;75;22.23
01/08/2020;94;26.65
01/08/2020;84;26.15
01/08/2020;24;23.22
01/08/2020;11;23.42
02/08/2020;84;22.03
02/08/2020;28;17.34
02/08/2020;11;20.35
03/08/2020;93;25.12
03/08/2020;94;26.02
03/08/2020;32;17.12
03/08/2020;52;19.9
03/08/2020;53;16.9
03/08/2020;28;16.9
05/08/2020;27;19.64
06/08/2020;28;22.72
06/08/2020;27;22.15
06/08/2020;76;24.75
06/08/2020;84;22.21
07/08/2020;84;25.11
08/08/2020;52;27.92
08/08/2020;27;26.22
11/08/2020;76;26.95
11/08/2020;75;27.4
11/08/2020;44;26.89
11/08/2020;11;28.74
11/08/2020;52;27.8
12/08/2020;93;25.52
13/08/2020;53;20.71
14/08/2020;27;22.66
14/08/2020;76;23.97
15/08/2020;76;24.81
15/08/2020;94;25.22
20/08/2020;94;24.98
21/08/2020;44;25.6
21/08/2020;53;20.21
22/08/2020;93;26.2
06/12/2019;84;3.78
07/12/2019;94;13.58
07/12/2019;11;9.45
07/12/2019;28;9.26
07/12/2019;93;8.62
09/12/2019;94;12.85
09/12/2019;93;8.97
12/12/2019;93;6.19
13/12/2019;75;11.61
13/12/2019;11;8.33
13/12/2019;84;6.99
14/12/2019;11;8.62
15/12/2019;53;8.69
23/12/2019;32;8.72
24/12/2019;44;8.49
24/12/2019;53;10.9
24/12/2019;11;10.07
24/12/2019;84;7.51
24/12/2019;75;13.26
24/12/2019;24;10.5
25/12/2019;44;7.41
26/12/2019;44;3.96
26/12/2019;52;9.43
27/12/2019;52;11.77
27/12/2019;84;7.42
28/12/2019;28;6.61
28/12/2019;44;3.17
28/12/2019;76;7.95
28/12/2019;27;5.79
29/12/2019;76;6.12
29/12/2019;53;5.36
29/12/2019;75;4.29
29/12/2019;94;9.28
30/12/2019;75;5.99
30/12/2019;84;2.96
31/12/2019;28;1.31
01/01/2020;84;1.53
01/01/2020;32;0.95
01/01/2020;44;-1.2
01/01/2020;24;4.11
02/01/2020;32;5.5
02/01/2020;93;5.32
03/01/2020;76;6.76
03/01/2020;24;8.74
